keys,ru
QUOTE_DIALOG_PACKAGE_CRASH_05,Твою ж! Посылка по всему салону летает!
QUOTE_DIALOG_PACKAGE_CRASH_06,"Осторожней, шеф! Если сувениры разбьются — из твоего кармана вычту!"
QUOTE_DIALOG_PACKAGE_CRASH_07,"Вай, полегче! На кочках груз убьёшь!"
QUOTE_DIALOG_PACKAGE_DROPOFF_01,"Спасибо, шеф! Посылку принял, всё в целости и сохранности!"
QUOTE_DIALOG_PACKAGE_DROPOFF_02,"Отлично! Доставка на высоте, всё в порядке!"
QUOTE_DIALOG_PACKAGE_DROPOFF_03,"Благодарю, коробка цела, расплачиваюсь!"
QUOTE_DIALOG_PACKAGE_DROPOFF_04,"Спасибо, брат! Груз дошёл в идеале, ни одна бутылочка не разбилась!"
QUOTE_DIALOG_PACKAGE_DROPOFF_05,"Отлично! Всё цело и невредимо, держи за оперативность!"
QUOTE_DIALOG_PACKAGE_DROPOFF_06,"Благодарю, заказчик уже забрал коробку, всё супер!"
QUOTE_DIALOG_PACKAGE_DROPOFF_07,"Красава! Посылка на месте, держи оплату!"
QUOTE_DIALOG_PACKAGE_PICKUP_01,"Салам, шеф! Вот посылка, отвези аккуратно на адрес!"
QUOTE_DIALOG_PACKAGE_PICKUP_02,"Привет! Передай этот хрупкий короб, там стеклянные бутылки с нарзаном!"
QUOTE_DIALOG_PACKAGE_PICKUP_03,"Добрый день! Вот документы и коробка, доставишь в целости?"
QUOTE_DIALOG_PACKAGE_PICKUP_04,"Здравствуйте! Посылка опечатана, вези ровно!"
QUOTE_DIALOG_PACKAGE_PICKUP_05,"Салам, шеф! В коробке сувениры из дуба и нарзан, вези осторожно!"
QUOTE_DIALOG_PACKAGE_PICKUP_06,"Привет! Вот сверток с пирогами, доставь на Верхний рынок горячим!"
QUOTE_DIALOG_PACKAGE_PICKUP_07,"Добрый день! Вот коробка с лекарствами для санатория, передай лично в руки!"
QUOTE_DIALOG_PACKAGE_PICKUP_08,"Здравствуйте! Осторожно с коробкой, там хрупкий фарфор из Кисловодска!"
QUOTE_DIALOG_RACE_DROPOFF_01,"Ахаха, умыли его! Настоящий Шумахер Пятигорска!"
QUOTE_DIALOG_RACE_DROPOFF_02,Вот это гонка! Держи заслуженную награду!
QUOTE_DIALOG_RACE_DROPOFF_03,Оставили его далеко позади! Красава!
QUOTE_DIALOG_RACE_DROPOFF_04,Ахаха! Оставили его глотать пыль у подножия Машука!
QUOTE_DIALOG_RACE_DROPOFF_05,"Вот это драйв! Настоящий стритрейсер, держи премию!"
QUOTE_DIALOG_RACE_DROPOFF_06,Умыли его! Он аж поворотник от стыда выключил!
QUOTE_DIALOG_RACE_DROPOFF_07,"Красава! Вот это обгон, уважение!"
QUOTE_DIALOG_RACE_PICKUP_01,"Вон тот на белой «семерке» думает, что он быстрее?! Обгони его!"
QUOTE_DIALOG_RACE_PICKUP_02,"Газ в пол, брат! Проучи этого бомбилу!"
QUOTE_DIALOG_RACE_PICKUP_03,"Жми, жми! Вокзал ждёт победителя!"
QUOTE_DIALOG_RACE_PICKUP_04,"Покажи этой Приоре, кто тут хозяин дорог!"
QUOTE_DIALOG_RACE_PICKUP_05,"Слышь, вон та «семерка» с громким глушителем нас подрезала! Нагони её!"
QUOTE_DIALOG_RACE_PICKUP_06,"Газ в полик, братуха! Докажи, что жёлтое такси быстрее всех в Пятигорске!"
QUOTE_DIALOG_RACE_PICKUP_07,"Покажи этому бомбиле на старой Волге, как ездят настоящие профи!"
QUOTE_DIALOG_RACE_PICKUP_08,"Жми, жми! На перекрёстке надо быть первыми!"
QUOTE_DIALOG_TOUR_DROPOFF_01,"Какая красота! Пятигорск просто сказка, спасибо!"
QUOTE_DIALOG_TOUR_DROPOFF_02,Незабываемая экскурсия! Спасибо за поездку!
QUOTE_DIALOG_TOUR_DROPOFF_03,Мы в восторге от Пятигорска! Огромное спасибо!
QUOTE_DIALOG_TOUR_DROPOFF_04,"Вай, какие виды! Пятигорск покорил наши сердца, спасибо вам!"
QUOTE_DIALOG_TOUR_DROPOFF_05,Замечательный рассказ и поездка! Обязательно вернемся!
QUOTE_DIALOG_TOUR_DROPOFF_06,Огромное спасибо! Панорамы гор просто невероятные!
QUOTE_DIALOG_TOUR_DROPOFF_07,Спасибо за тёплый кавказский прием! Держи отличные чаевые!
QUOTE_DIALOG_TOUR_PICKUP_01,"Здравствуйте! Мы приехали из Москвы, покажите нам Провал и Эолову арфу!"
QUOTE_DIALOG_TOUR_PICKUP_02,Добрый день! Хотим увидеть вершину Машука и грот Лермонтова!
QUOTE_DIALOG_TOUR_PICKUP_03,Привет! Вези нас по самым красивым местам города!
QUOTE_DIALOG_TOUR_PICKUP_04,Здравствуйте! Будет здорово по пути услышать истории о Пятигорске!
QUOTE_DIALOG_TOUR_PICKUP_05,"Здравствуйте! Мы впервые на КМВ, расскажите про озеро Тамбукан по пути!"
QUOTE_DIALOG_TOUR_PICKUP_06,Добрый день! Провезите нас мимо Цветника и поднимите к Лермонтовскому гроту!
QUOTE_DIALOG_TOUR_PICKUP_07,"Привет! Местные говорят, у вас самые красивые виды на Бештау — покажете?"
QUOTE_DIALOG_TOUR_PICKUP_08,"Здравствуйте! Везите нас туда, где самый вкусный шашлык и нарзан!"
QUOTE_DIALOG_URGENT_DROPOFF_01,Успели! Настоящий джигит! Держи сдачу и премию!
QUOTE_DIALOG_URGENT_DROPOFF_02,"Красавец, выручил! Успехов тебе!"
QUOTE_DIALOG_URGENT_DROPOFF_03,"Красавчик! Вот это скорость, уважение!"
QUOTE_DIALOG_URGENT_DROPOFF_04,"Вовремя! Ты просто спаситель, держи чаевые!"
QUOTE_DIALOG_URGENT_DROPOFF_05,"Фух, успели секунда в секунду! Ты просто тигр! Держи премию!"
QUOTE_DIALOG_URGENT_DROPOFF_06,"Красавец! Вот это пилотаж, выручил на миллион!"
QUOTE_DIALOG_URGENT_DROPOFF_07,"Долетели! От души, брат, за такую скорость не жалко чаевых!"
QUOTE_DIALOG_URGENT_DROPOFF_08,"Успели! Спасибо огромное, брат, держи с запасом!"
QUOTE_DIALOG_URGENT_PICKUP_01,"Шеф, на вокзал опаздываю! Успеем — с меня премия!"
QUOTE_DIALOG_URGENT_PICKUP_02,"Быстрее, братуха, поезд ждать не будет!"
QUOTE_DIALOG_URGENT_PICKUP_03,"Жми на газ, дорогой! Засекай время!"
QUOTE_DIALOG_URGENT_PICKUP_04,"Умоляю, быстрее! Встреча через 5 минут на Бештаугорском!"
QUOTE_DIALOG_URGENT_PICKUP_05,"Брат, в аэропорт Минеральные Воды успеешь подбросить?!"
QUOTE_DIALOG_URGENT_PICKUP_06,"Шеф, на санаторный автобус опаздываю, умоляю, жми!"
QUOTE_DIALOG_URGENT_PICKUP_07,"Брат, в Ессентуки на поезд! Долетишь — с меня двойной счёт!"
QUOTE_DIALOG_URGENT_PICKUP_08,"Срочно, командир! Встреча у Эоловой арфы, через 3 минуты надо быть!"
QUOTE_DIALOG_URGENT_PICKUP_09,"Быстрей, дорогой! Анализы в поликлинику везу, время горит!"
QUOTE_DIALOG_URGENT_PICKUP_10,"Вася, жми педаль в пол, на автовокзал секунды остаются!"
QUOTE_DIALOG_VIP_DROPOFF_01,Благодарю за комфорт. Высокий уровень сервиса!
QUOTE_DIALOG_VIP_DROPOFF_02,"Замечательно доехали, оставлю щедрые чаевые."
QUOTE_DIALOG_VIP_DROPOFF_03,Спасибо. Очень приятный автомобиль и вождение.
QUOTE_DIALOG_VIP_DROPOFF_04,"Прекрасная поездка, сохраню ваш номер!"
QUOTE_DIALOG_VIP_DROPOFF_05,Благодарю за безупречное вождение. Примите щедрые чаевые.
QUOTE_DIALOG_VIP_DROPOFF_06,Отличная поездка. Очень интеллигентный стиль управления.
QUOTE_DIALOG_VIP_DROPOFF_07,"Спасибо. Машина чистая, ход плавный. Поставлю наивысшую оценку."
QUOTE_DIALOG_VIP_DROPOFF_08,Благодарю. Приятно иметь дело с профессионалом.
QUOTE_DIALOG_VIP_PICKUP_01,"Добрый день. Пожалуйста, аккуратно и без резких манёвров."
QUOTE_DIALOG_VIP_PICKUP_02,Здравствуйте. Классическую музыку включить можете?
QUOTE_DIALOG_VIP_PICKUP_03,"Приветствую. Надеюсь, подвеска у вас мягкая?"
QUOTE_DIALOG_VIP_PICKUP_04,"Добрый вечер. Довезите до ресторана, без спешки."
QUOTE_DIALOG_VIP_PICKUP_05,Здравствуйте. Кондиционер работает нормально?
QUOTE_DIALOG_VIP_PICKUP_06,"Добрый день. Пожалуйста, потише с радио и без резких разгонов."
QUOTE_DIALOG_VIP_PICKUP_07,Здравствуйте. Направляемся к санаторию «Империал». Поездка должна быть плавной.
QUOTE_DIALOG_VIP_PICKUP_08,"Приветствую. Поедем не спеша, наслаждаясь видами Пятигорска."
QUOTE_DIALOG_VIP_PICKUP_09,"Добрый вечер. Пожалуйста, держите дистанцию и избегайте ям."
QUOTE_DISPATCH_FOG_01,"Шеф, на Машуке туман и ливень. Держи дистанцию, тормоза на серпантине скользкие!"
QUOTE_DISPATCH_FOG_02,"С гор туман спустился, Пятигорск как в молоке. Включи фары и не гони!"
QUOTE_DISPATCH_FOG_03,"Внимательнее на серпантине к Провалу, из-за тумана ничего не видать!"
QUOTE_DISPATCH_GENERAL_01,"Салам, шеф! Машина чистая, бензин есть. Начни с центра, курортники не любят ждать!"
QUOTE_DISPATCH_GENERAL_02,Зинаида с рынка опять просила проверенного водителя. Будь наготове!
QUOTE_DISPATCH_GENERAL_03,"Утро доброе! На Кирова уже людно, заказы сыплются. Удачной смены!"
QUOTE_DISPATCH_GENERAL_04,"Шеф, сегодня большой наплыв в санатории. Держи руку на пульсе!"
QUOTE_DISPATCH_GENERAL_05,"Салам алейкум! Работы много, город проснулся. Погнали!"
QUOTE_DISPATCH_GENERAL_06,"Шеф, курортный сезон в разгаре! Води аккуратно, чаевые будут щедрыми."
QUOTE_DISPATCH_GENERAL_07,Рация на связи. Помни: довольный клиент — залог высокого рейтинга!
QUOTE_DISPATCH_NIGHT_01,Ночная смена — тарифы ×2. Включи фары и не зевай!
QUOTE_DISPATCH_NIGHT_02,Ночной Пятигорск оживает! Следи за дорогой и полуночниками.
QUOTE_DISPATCH_RAIN_01,"Шеф, на Машуке ливень! Держи дистанцию, тормоза на серпантине скользкие!"
QUOTE_DISPATCH_RAIN_02,Дождь по всему Пятигорску зарядил. Курортники зонты забыли — заказов будет море!
QUOTE_DISPATCH_RAIN_03,"Осторожнее на мокром асфальте, шеф! На серпантине не лихачь!"
QUOTE_DRIFT_01,"Вах, мамой клянусь, тормози! Мой нарзан прольется!"
QUOTE_DRIFT_02,"Красавчик, как на Приоре валишь!"
QUOTE_DRIFT_03,"Слышь, ты где так водить учился, на серпантине Машука?!"
QUOTE_DRIFT_04,"А-а-а! Мама мия, я же только в санаторий приехал!"
QUOTE_DRIFT_05,"Ого, вот это вираж! За такой дрифт и чаевые не жалко!"
QUOTE_DRIFT_06,"Эээ! Жизнь одна, шеф, полегче на поворотах!"
QUOTE_DRIFT_07,Вот это боком дал! В Форсаж-11 тебя надо!
QUOTE_DRIFT_08,"Вах, братуха, меня аж к двери прижало! Кайф!"
QUOTE_DRIFT_09,"Слышь, шеф, сбавь! У меня шапка на заднее сиденье улетела!"
QUOTE_DRIFT_10,"Мамой клянусь, вот это угол заноса! Ты в дрифте чемпион КМВ?!"
QUOTE_DRIFT_11,"А-а-а! Шеф, полегче! Нарзан из бутылки фонтаном пошёл!"
QUOTE_DRIFT_12,"Вай! Я ж забыл, что на такси сел, а не на американские горки!"
QUOTE_DRIFT_13,"Ого, вот это джигит! Бабушка бы за сердце схватилась!"
QUOTE_DRIFT_14,Твою ж... У меня аж хинкали в животе перевернулись!
QUOTE_DRIFT_15,"Шеф, если не перевернемся — с меня полтинник сверху!"
QUOTE_DRIFT_16,Красава! Так резво даже маршрутчики на Галерее не закладывают!
QUOTE_DRIVER_HIT_PED_01,Ослеп что ли под колёса прыгать?!
QUOTE_DRIVER_HIT_PED_02,"Куда выскочил, осел?!"
QUOTE_DRIVER_HIT_PED_03,Сумасшедший! Чуть насмерть не сбил!
QUOTE_DRIVER_HIT_PED_04,"Вай, за что-о-о?! Под колеса сам бросился!"
QUOTE_DRIVER_HIT_PED_05,Ты с ума сшел?! На капот мне прыгнул!
QUOTE_DRIVER_HIT_PED_06,"Твою ж дивизию! Живой хоть, сайгак?!"
QUOTE_DRIVER_HIT_PED_07,"Эй, разуй глаза! Я же тормозил как мог!"
QUOTE_DRIVER_HIT_PED_08,"Мамой клянусь, он сам под машину выскочил!"
QUOTE_DRIVER_HIT_PED_09,"Вай, я же не нарочно! Смотри по сторонам!"
QUOTE_DRIVER_HIT_PED_10,"Ты куда смотрел, тут же машина едет!"
QUOTE_DRIVER_HIT_PED_11,"Эй, живой?! Я чуть инфаркт не получил!"
QUOTE_DRIVER_HIT_PED_12,"Слышь, наушники вынь, тут дорога!"
QUOTE_DRIVER_PED_01,Куда под колёса лезешь?!
QUOTE_DRIVER_PED_02,Шевелись на зебре!
QUOTE_DRIVER_PED_03,Зелёный не вечный!
QUOTE_DRIVER_PED_04,"Давай быстрей, сайгак!"
QUOTE_DRIVER_PED_05,"Смотри по сторонам, пешеход!"
QUOTE_DRIVER_PED_06,"Эй, сайгак, ноги в руки и бегом!"
QUOTE_DRIVER_PED_07,"Шевели поршнями, зелёный кончается!"
QUOTE_DRIVER_PED_08,"Твою ж... Оглянись, тут машина едет!"
QUOTE_DRIVER_PED_09,"Эй, курортник, на Машуке зебр нет, а тут есть!"
QUOTE_DRIVER_PED_10,"Слышь, ушей натянул, сигнала не слышишь?!"
QUOTE_DRIVER_PED_JWALK_01,"Куда прешь вне зебры, жить надоело?!"
QUOTE_DRIVER_PED_JWALK_02,"Тут зебры нет, а ты прёшь!"
QUOTE_DRIVER_PED_JWALK_03,"Эй, нарушитель, на переходе иди!"
QUOTE_DRIVER_PED_JWALK_04,"Вне зебры переходишь, джигит?!"
QUOTE_DRIVER_PED_JWALK_05,"Слышь, тут не зебра, а ты прёшь под колёса!"
QUOTE_DRIVER_PED_JWALK_06,"Куда внаглую через дорогу, светофор для тебя не писан?!"
QUOTE_DRIVER_PED_REPLY_01,На зебре я главный!
QUOTE_DRIVER_PED_REPLY_02,"Подождёшь, не трамвай!"
QUOTE_DRIVER_PED_REPLY_03,"Красный горит, куда сигналишь?!"
QUOTE_DRIVER_PED_REPLY_04,"Не дрова везёшь, подождёшь!"
QUOTE_DRIVER_PED_REPLY_05,Сам пешком иди!
QUOTE_DRIVER_PED_REPLY_06,"Сигналит он еще, баран на педалях!"
QUOTE_DRIVER_PED_REPLY_07,"Потише газуй, у меня нарзан прольется!"
QUOTE_DRIVER_PED_REPLY_08,Права в Ессентуках купил и умничает!
QUOTE_DRIVER_PED_REPLY_09,"Слышь, пешеход всегда прав, запомни!"
QUOTE_DRIVER_PED_REPLY_10,"Пешком походи, остынь, джигит!"
QUOTE_DRIVER_PED_REPLY_11,"Эй, колымага, тормоза сначала почини!"
QUOTE_DRIVER_PED_REPLY_JWALK_01,"А мне всё равно, тут все так ходят!"
QUOTE_DRIVER_PED_REPLY_JWALK_02,"Ты не ГАИ, чтобы меня учить!"
QUOTE_DRIVER_PED_REPLY_JWALK_03,"Спешу я, понял?! Не до твоих зебр!"
QUOTE_DRIVER_PED_REPLY_JWALK_04,"Вот ещё, буду я на тебя смотреть!"
QUOTE_DRIVER_PED_REPLY_JWALK_05,"Сам нарушаешь, а меня учишь!"
QUOTE_DRIVER_PED_REPLY_JWALK_06,"Тормози заранее, я тут хозяин!"
QUOTE_DRIVER_PED_REPLY_JWALK_07,"Вай, иди своей дорогой, джигит!"
QUOTE_DRIVER_RAM_01,"Куда прёшь, дрова везёшь?!"
QUOTE_DRIVER_RAM_02,"Смотри куда рулишь, шумахер!"
QUOTE_DRIVER_RAM_03,Права за салом купил?!
QUOTE_DRIVER_RAM_04,Эй! Машину помнёшь!
QUOTE_DRIVER_RAM_05,Ты у меня щас за ремонт заплатишь!
QUOTE_DRIVER_RAM_06,"Тормоза проверь, ведро!"
QUOTE_DRIVER_RAM_07,"Ослеп что ли, осел?!"
QUOTE_DRIVER_RAM_08,"Вай, Приору мою помял, шакал!"
QUOTE_DRIVER_RAM_09,"Ты где так подрезать учился, а?!"
QUOTE_DRIVER_RAM_10,"Слышь, бампер мне выпрямлять за свой счет будешь!"
QUOTE_DRIVER_RAM_11,Твою ж... Совсем страх потерял на дороге?!
QUOTE_DRIVER_RAM_12,"Эй, чучело на желтом такси, стой говорю!"
QUOTE_DRIVER_RAM_13,"Мамой клянусь, щас вылезу и фары тебе разобью!"
QUOTE_DRIVER_RAM_14,"Куда ты лезешь, видишь едет машина?!"
QUOTE_DRIVER_RAM_15,"Вай-бай, новый крыло помял, гад!"
QUOTE_DRIVER_RAM_16,Ты на такси или на танке?!
QUOTE_DRIVER_RAM_17,"Слышь, у меня тут пассажиры, а ты в багажник лезешь!"
QUOTE_DRIVER_RAM_18,"Вай, зачем так близко, я же не маршрутка!"
QUOTE_DRIVER_RAM_19,"Ты в зеркала вообще смотришь, джигит?!"
QUOTE_DRIVER_RAM_20,"Эй, жёлтое такси, ты на подъёме тормозить умеешь?!"
QUOTE_DRIVER_SHOUT_01,"Эй! Бампер мне поцарапал, баран!"
QUOTE_DRIVER_SHOUT_02,"Ты че творишь, а?! Разуй глаза!"
QUOTE_DRIVER_SHOUT_03,"Слышь, за ремонт моей Лады кто платить будет?!"
QUOTE_DRIVER_SHOUT_04,"Вай, мой Приора! Стой, куды поехал?!"
QUOTE_DRIVER_SHOUT_05,"Ты где поворотники забыл, э?!"
QUOTE_DRIVER_SHOUT_06,"Куда летишь, на проспект Кирова?!"
QUOTE_DRIVER_SHOUT_07,Сигналит он еще! Сама культура!
QUOTE_DRIVER_SHOUT_08,"Джигит хренов, рулить научись!"
QUOTE_DRIVER_SHOUT_09,"Слышь, на красное идешь, совсем страх потерял?!"
QUOTE_DRIVER_SHOUT_10,"Уступи дорогу, я на Верхний рынок спешу!"
QUOTE_DRIVER_SHOUT_11,Куда вклиниваешься без поворотника?!
QUOTE_DRIVER_SHOUT_12,"Ты кому подрезаешь, э?! Из машины вылези!"
QUOTE_DRIVER_SHOUT_13,"Вай, держите меня семеро, этот таксист с ума сшел!"
QUOTE_DRIVER_SHOUT_14,Опять желтое такси мешается на подьеме!
QUOTE_DRIVER_SHOUT_15,"Слышь, ты на красную волну специально напросился?!"
QUOTE_DRIVER_SHOUT_16,"Вай, джигит, зеркало мне не снеси!"
QUOTE_DRIVER_SHOUT_17,"Эй, ты на Верхний рынок или на таран идешь?!"
QUOTE_DRIVER_SHOUT_18,"Куда ты втискиваешься, тут маршрутка еле проходит!"
QUOTE_DRIVER_SHOUT_19,Твою ж дивизию! Кто так по кольцу едет?!
QUOTE_DRIVER_SHOUT_20,"Ты где так подрезать научился, на серпантине?!"
QUOTE_DRIVER_SHOUT_21,"Э, шеф, у тебя фары светом или свечками горят?!"
QUOTE_DRIVER_SHOUT_22,"Вай, Приора у него... Рулить научись сначала!"
QUOTE_DRIVER_SHOUT_23,"Сигналит он! У тебя чё, клаксон заклинило?!"
QUOTE_DRIVER_SHOUT_24,"Куда прешь по встречке, вася?!"
QUOTE_DRIVER_SHOUT_25,"Слышь, давай вылезем, перетрем за твоё вождение!"
QUOTE_DRIVER_SHOUT_26,"Мамой клянусь, этот таксист в GTA переиграл!"
QUOTE_DRIVER_SHOUT_27,"Уступи дорогу, я курортников на вокзал везу!"
QUOTE_DRIVER_SHOUT_28,"Эй, баран, поворотник выключи, ты три километра с ним едешь!"
QUOTE_DRIVER_SHOUT_29,"Вай-вай-вай, кузов поцарапал, гад!"
QUOTE_DRIVER_SHOUT_30,Ты бы ещё на Машук задним ходом поехал!
QUOTE_DRIVER_SHOUT_31,"Тормоза зажми, олень, сзади рефрижератор идет!"
QUOTE_PED_ANIMAL_CAT_01,Мяу!
QUOTE_PED_ANIMAL_CAT_02,Мурр-мяу!
QUOTE_PED_ANIMAL_CAT_03,Фр-р-р!
QUOTE_PED_ANIMAL_CAT_04,Мяу-мяу...
QUOTE_PED_ANIMAL_CAT_05,Мяу-у-у!
QUOTE_PED_ANIMAL_CAT_06,Фррр-мяу!
QUOTE_PED_ANIMAL_DOG_01,Гав-гав!
QUOTE_PED_ANIMAL_DOG_02,Тяв!
QUOTE_PED_ANIMAL_DOG_03,Вуф!
QUOTE_PED_ANIMAL_DOG_04,"Р-р-р, гав!"
QUOTE_PED_ANIMAL_DOG_05,Гав-гав-гав!
QUOTE_PED_ANIMAL_DOG_06,Тяв-тяв!
QUOTE_PED_BUSINESSMAN_01,У меня переговоры!
QUOTE_PED_BUSINESSMAN_02,Время — деньги!
QUOTE_PED_BUSINESSMAN_03,Созвон через пять минут...
QUOTE_PED_BUSINESSMAN_04,"Акции проверяю, секунду..."
QUOTE_PED_BUSINESSMAN_05,Надо сделку закрыть до вечера...
QUOTE_PED_BUSINESSMAN_06,"Вай, пробки срывают все встречи!"
QUOTE_PED_BUSINESSMAN_07,"Контракт горит, надо поторопиться..."
QUOTE_PED_CHILD_01,"Мама, смотри машинка!"
QUOTE_PED_CHILD_02,Хочу мороженое!
QUOTE_PED_CHILD_03,А это что за птица?
QUOTE_PED_CHILD_04,"Смотри, какой голубь смешной!"
QUOTE_PED_CHILD_05,А мы на карусели пойдём?
QUOTE_PED_CHILD_06,"Мам, купи шарик!"
QUOTE_PED_CHILD_07,"Ура, мы гуляем в парке!"
QUOTE_PED_CURSE_01,"Куда прёшь, дрова везёшь?!"
QUOTE_PED_CURSE_02,Права за салом купил?!
QUOTE_PED_CURSE_03,"Смотри куда рулишь, шумахер!"
QUOTE_PED_CURSE_04,"Ослеп что ли, осел?!"
QUOTE_PED_CURSE_05,"Тормоза проверь, ведро!"
QUOTE_PED_CURSE_06,Ты у меня щас пешком пойдёшь!
QUOTE_PED_CURSE_07,Урод на колёсах!
QUOTE_PED_CURSE_08,Чуть ноги не оторвал!
QUOTE_PED_CURSE_09,"Эй, джигит, тротуар с трассой перепутал?!"
QUOTE_PED_CURSE_10,Твою ж... Чуть на капот меня не посадил!
QUOTE_PED_CURSE_11,"Ты где рулить учился, в горном ауле?!"
QUOTE_PED_CURSE_12,"Смотри куда прешь, колымага жёлтая!"
QUOTE_PED_CURSE_13,"Эй, шумахер недоделанный, тормози!"
QUOTE_PED_CURSE_14,"Чуть шашлык из рук не выбил, шакал!"
QUOTE_PED_CURSE_15,Ноги оборвать за такое вождение!
QUOTE_PED_CURSE_16,"Вай, чуть сандали не слетели!"
QUOTE_PED_CURSE_17,Ты на пешехода или на кегли охотишься?!
QUOTE_PED_CURSE_18,"Слышь, тут люди ходят, а не кегли стоят!"
QUOTE_PED_CURSE_19,"Эй, гонщик, до Бештау пешком дойдёшь с такой ездой!"
QUOTE_PED_CURSE_20,"Мамой клянусь, чуть на капот не посадил!"
QUOTE_PED_CURSE_BUSINESSMAN_01,"Вы что, по пешеходам ездите?!"
QUOTE_PED_CURSE_BUSINESSMAN_02,У меня костюм дороже твоей машины!
QUOTE_PED_CURSE_BUSINESSMAN_03,Я в суд на тебя подам!
QUOTE_PED_CURSE_BUSINESSMAN_04,Ты мне встречу чуть не сорвал!
QUOTE_PED_CURSE_BUSINESSMAN_05,"Куда прёшь, баран на колёсах?!"
QUOTE_PED_CURSE_BUSINESSMAN_06,Мой адвокат с тобой свяжется!
QUOTE_PED_CURSE_BUSINESSMAN_07,"Ты хоть знаешь, сколько стоит моё время?!"
QUOTE_PED_CURSE_CHILD_01,"Ой, дядя плохой!"
QUOTE_PED_CURSE_CHILD_02,"Мама, меня чуть не задавили!"
QUOTE_PED_CURSE_CHILD_03,"Дядя, ты почему такой злой?!"
QUOTE_PED_CURSE_CHILD_04,"Ой, машинка на меня едет!"
QUOTE_PED_CURSE_CHILD_05,"Мама, спаси, он не умеет рулить!"
QUOTE_PED_CURSE_CHILD_06,"Дядя на бибике, не дави меня!"
QUOTE_PED_CURSE_CHILD_07,"Ай, я маме всё расскажу!"
QUOTE_PED_CURSE_ELDER_01,"Ох ты ж, чуть деда не сбил, шалопай!"
QUOTE_PED_CURSE_ELDER_02,"В мои годы так не гоняли, бессовестный!"
QUOTE_PED_CURSE_ELDER_03,"Ты куда прёшь, я тут хожу!"
QUOTE_PED_CURSE_ELDER_04,"Эх, молодёжь, совсем страх потеряли!"
QUOTE_PED_CURSE_ELDER_05,"Чуть трость не выронил, окаянный!"
QUOTE_PED_CURSE_ELDER_06,"Слышь, сынок, я тут пешком, а не по асфальту!"
QUOTE_PED_CURSE_ELDER_07,"Ох, сердце чуть не выскочило, хулиган!"
QUOTE_PED_CURSE_GOPNIK_01,"Куда прёшь, олень?!"
QUOTE_PED_CURSE_GOPNIK_02,"Ты чё, рамсы попутал?!"
QUOTE_PED_CURSE_GOPNIK_03,"Слышь, ты кого подрезал?!"
QUOTE_PED_CURSE_GOPNIK_04,"Ща фары разобью, джигит!"
QUOTE_PED_CURSE_GOPNIK_05,"Ты чё, страх потерял?!"
QUOTE_PED_CURSE_GOPNIK_06,"Эй, вылезай из ведра, поговорим!"
QUOTE_PED_CURSE_GOPNIK_07,"Слышь, колымага, ща без бампера останешься!"
QUOTE_PED_CURSE_GRANDMA_01,Ироды! Чуть бабку не сбили!
QUOTE_PED_CURSE_GRANDMA_02,"Куда летишь, окаянный?!"
QUOTE_PED_CURSE_GRANDMA_03,"Тьфу на тебя, душегуб окаянный!"
QUOTE_PED_CURSE_GRANDMA_04,"В полицию на тебя заявлю, бандит!"
QUOTE_PED_CURSE_GRANDMA_05,"Чтоб тебе пусто было, лихач!"
QUOTE_PED_CURSE_GRANDMA_06,"Совсем стариков не уважают, ирод!"
QUOTE_PED_CURSE_GRANDMA_07,"Ослеп, что ли, старую не видишь?!"
QUOTE_PED_CURSE_MOM_01,"Ой, чуть ребёнка не задавил!"
QUOTE_PED_CURSE_MOM_02,"Ты что творишь, тут коляска!"
QUOTE_PED_CURSE_MOM_03,"Осторожнее, у меня малыш!"
QUOTE_PED_CURSE_MOM_04,"Куда прёшь, я с ребёнком!"
QUOTE_PED_CURSE_MOM_05,"Ой, напугал до смерти, бессовестный!"
QUOTE_PED_CURSE_MOM_06,"Тут же дети гуляют, куда ты гонишь!"
QUOTE_PED_CURSE_MUSICIAN_01,"Эй, чуть аккордеон не раздавил!"
QUOTE_PED_CURSE_MUSICIAN_02,"Ты что, музыку не уважаешь?!"
QUOTE_PED_CURSE_MUSICIAN_03,"Чуть инструмент не сломал, варвар!"
QUOTE_PED_CURSE_MUSICIAN_04,"Эй, шумахер, тут артист идёт!"
QUOTE_PED_CURSE_MUSICIAN_05,"Куда прёшь, я тут мелодию сочиняю!"
QUOTE_PED_CURSE_MUSICIAN_06,"Чуть ноты не рассыпал, бессовестный!"
QUOTE_PED_CURSE_NURSE_01,"Ой, чуть не сбил, я же на смену!"
QUOTE_PED_CURSE_NURSE_02,"Ты что творишь, тут медсестра!"
QUOTE_PED_CURSE_NURSE_03,"Осторожнее, у меня пациенты!"
QUOTE_PED_CURSE_NURSE_04,"Куда прёшь, я спешу в больницу!"
QUOTE_PED_CURSE_NURSE_05,"Ой, напугал, бессовестный!"
QUOTE_PED_CURSE_NURSE_06,"Тут же люди, куда ты гонишь!"
QUOTE_PED_CURSE_REDLIGHT_01,"Вай, мамой клянусь, на красный пролетел!"
QUOTE_PED_CURSE_REDLIGHT_02,"Красный горит, а он прёт! Совсем страх потерял!"
QUOTE_PED_CURSE_REDLIGHT_03,"Ты на красный-то смотри, джигит!"
QUOTE_PED_CURSE_REDLIGHT_04,"Светофор для тебя не указ, да?!"
QUOTE_PED_CURSE_REDLIGHT_05,"Вай, красный же горит! Куда прёшь?!"
